20200529133723                 Connected to the PowerApps AdminCenter
20200529133723                 Fetching information for Start approval when a new item is added
20200529133723                 Fetching information for HelpDeskFlow
20200529133723                 Fetching information for ContentApproval
20200529133723                 Fetching information for delete
20200529133723                 Fetching information for When a file is created or modified (properties only) -> Compose
20200529133723                 Fetching information for HelpDeskFlow - 2
20200529133723                 Fetching information for DeletefromOnedrive
20200529133723                 Fetching information for restorefromrecyclebin
20200529133723                 Fetching information for UpdateLasrgeList
20200529133723                 Fetching information for Send a customized email when a new SharePoint list item is added - 2
20200529133723                 Fetching information for UpdateListItems
20200529133723                 Fetching information for Send a customized email when a new SharePoint list item is added
20200529133723                 Fetching information for Get list of new PowerApps, Flows and Connectors
20200529133723                 Fetching information for When an item is created -> Condition,Update item
